id_veicolo,commerciale,eta_approx,genere
22832,N,70,M
22833,N,64,F
22834,N,61,M
22835,N,59,F
22836,N,50,F
22837,N,47,M
22838,N,45,M
22839,N,52,F
22840,S,0,_
22841,N,47,F
22842,N,24,F
22843,S,0,_
22844,N,76,F
22845,N,26,F
22846,N,38,M
22847,N,51,F
22848,N,74,F
22849,N,75,F
22850,N,76,F
22851,N,47,F
22852,N,62,F
22853,N,69,M
22854,N,48,F
22855,N,55,F
22856,S,0,_
22857,N,49,M
22858,N,61,F
22859,N,49,F
22860,N,71,M
22861,N,58,M
22862,N,64,M
22863,S,0,_
22864,N,38,F
22865,N,57,M
22866,N,56,F
22867,N,68,M
22868,N,83,F
22869,N,44,M
22870,N,67,F
22871,N,61,F
22872,N,52,M
22873,N,41,M
22874,N,68,M
22875,N,83,M
22876,N,55,F
22877,N,44,M
22878,N,60,M
22879,N,50,M
22880,N,80,F
22881,N,60,M
22882,N,80,M
22883,N,18,M
22884,N,74,F
22885,S,0,_
22886,N,49,M
22887,N,49,F
22888,N,60,F
22889,N,27,M
22890,N,64,F
22891,N,53,M
22892,N,30,F
22893,N,62,M
22894,N,63,F
22895,N,48,F
22896,N,41,F
22897,N,63,F
22898,N,50,M
22899,N,51,F
22900,N,64,F
22901,N,71,F
22902,N,58,F
22903,N,62,F
22904,N,62,F
22905,N,37,M
