id_veicolo,commerciale,eta_approx,genere
21642,N,26,M
21643,N,42,F
21644,N,87,M
21645,N,59,M
21646,N,62,F
21647,N,74,M
21648,N,69,M
21649,N,49,M
21650,S,0,_
21651,N,84,M
21652,N,77,M
21653,N,58,M
21654,N,72,M
21655,N,50,M
21656,N,74,F
21657,N,84,M
21658,N,62,M
21659,N,33,M
21660,N,44,F
21661,N,45,F
21662,N,49,M
21663,S,0,_
21664,N,61,M
21665,N,65,M
21666,N,55,M
21667,N,67,M
21668,N,42,M
21669,N,63,F
21670,N,34,M
21671,N,50,F
21672,S,0,_
21673,N,51,F
21674,N,66,F
21675,N,33,M
21676,N,74,M
21677,N,72,F
21678,N,72,F
21679,N,45,M
21680,N,36,M
21681,N,69,F
21682,N,55,M
21683,N,62,M
21684,N,70,M
21685,N,52,M
21686,N,29,F
21687,N,59,M
21688,N,37,F
21689,S,0,_
21690,N,86,M
21691,N,75,F
21692,N,58,F
21693,N,61,F
21694,N,52,F
21695,N,42,M
21696,N,55,F
21697,N,74,M
21698,N,67,M
21699,N,60,M
21700,N,79,M
21701,S,0,_
21702,N,70,M
21703,N,73,M
21704,N,53,M
21705,N,69,M
21706,N,61,M
21707,N,23,M
21708,N,78,M
21709,N,64,F
21710,N,28,F
21711,N,50,M
21712,N,22,F
21713,N,67,M
21714,S,0,_
21715,N,74,M
21716,N,54,F
21717,N,55,M
21718,N,57,M
21719,N,80,F
21720,N,65,M
21721,N,39,M
21722,N,69,F
21723,N,77,M
21724,N,45,M
21725,S,0,_
21726,N,88,F
21727,N,67,M
21728,N,42,F
21729,N,72,M
21730,N,23,M
21731,N,56,M
21732,N,46,F
21733,N,52,M
21734,N,60,M
21735,N,51,M
21736,N,29,F
21737,N,58,F
21738,N,44,M
21739,N,30,M
21740,N,72,M
21741,N,59,F
21742,N,73,F
21743,N,32,M
21744,N,75,M
21745,N,50,F
21746,N,53,M
21747,N,57,M
21748,N,78,F
21749,N,54,M
21750,N,66,F
21751,N,29,F
21752,N,39,M
21753,N,69,F
21754,N,42,M
21755,N,26,M
21756,N,63,M
21757,N,28,M
21758,N,31,F
21759,N,73,F
21760,N,69,F
21761,N,66,F
21762,N,33,M
21763,N,52,M
21764,N,51,F
21765,N,59,F
21766,N,64,M
21767,N,33,M
21768,S,0,_
21769,N,65,F
21770,N,55,M
21771,N,73,M
21772,N,53,F
21773,N,71,M
21774,N,61,M
21775,N,68,M
21776,N,63,M
21777,N,55,M
21778,N,68,M
21779,N,73,M
21780,N,53,F
21781,N,68,F
21782,N,55,F
21783,N,63,M
21784,N,26,M
21785,N,51,M
21786,N,46,M
21787,N,37,M
21788,N,54,M
21789,N,60,F
21790,N,23,M
21791,N,52,M
21792,N,59,M
21793,N,68,F
21794,N,37,M
21795,N,80,M
21796,N,53,F
21797,N,72,M
21798,N,45,M
21799,S,0,_
21800,N,67,M
21801,N,40,F
21802,N,75,M
21803,N,57,F
21804,S,0,_
21805,N,86,M
21806,N,46,M
21807,S,0,_
21808,N,76,F
21809,N,60,M
21810,N,61,F
21811,N,46,F
21812,N,34,M
21813,N,43,F
21814,N,59,M
21815,S,0,_
21816,N,65,M
21817,N,35,F
21818,N,63,M
21819,N,78,F
21820,N,38,F
21821,N,58,F
21822,S,0,_
21823,N,39,M
21824,N,51,M
21825,N,35,M
21826,N,43,F
21827,N,74,M
21828,N,78,M
21829,N,31,F
21830,N,60,M
21831,N,48,F
21832,N,46,F
21833,N,55,M
21834,N,59,F
21835,N,52,F
21836,N,59,F
21837,N,84,M
21838,N,45,M
21839,S,0,_
21840,N,81,M
21841,S,0,_
21842,S,0,_
21843,N,69,F
21844,N,56,M
21845,N,55,M
21846,N,49,M
21847,N,67,M
21848,N,62,F
21849,N,45,F
21850,N,85,M
21851,N,62,M
21852,N,71,F
21853,N,31,F
21854,N,57,F
21855,N,49,F
21856,S,0,_
21857,N,56,M
21858,N,58,F
21859,N,55,F
21860,N,51,F
21861,N,59,M
21862,N,52,M
21863,N,48,M
21864,N,72,M
21865,N,43,M
21866,N,58,M
21867,N,70,F
21868,N,75,F
21869,N,57,M
21870,N,56,F
21871,N,79,M
21872,N,42,M
21873,N,35,F
21874,N,51,F
21875,N,85,M
21876,N,64,M
21877,N,41,F
21878,N,72,M
21879,N,73,M
21880,N,38,F
21881,N,81,M
21882,N,42,F
21883,N,57,M
21884,N,51,M
21885,N,64,F
21886,N,85,F
21887,N,41,F
21888,N,40,M
21889,N,44,F
21890,N,74,F
21891,N,43,F
21892,N,85,M
21893,N,70,F
21894,N,69,M
21895,N,49,M
21896,N,55,F
21897,N,87,M
21898,N,73,M
21899,S,0,_
21900,N,44,M
21901,N,55,F
21902,N,50,F
21903,N,32,M
21904,N,56,F
21905,N,44,F
21906,N,53,M
21907,N,82,M
21908,N,58,M
21909,N,33,M
21910,N,57,F
21911,S,0,_
21912,N,70,M
21913,N,55,F
21914,N,72,M
21915,N,70,M
21916,N,49,F
21917,N,42,M
21918,S,0,_
21919,N,51,M
21920,N,41,M
21921,N,59,M
21922,N,61,F
21923,N,27,M
21924,N,61,M
21925,N,37,F
21926,N,77,M
21927,N,71,M
21928,N,52,M
21929,N,70,F
21930,N,48,F
21931,N,53,F
21932,N,54,M
21933,N,46,F
21934,N,53,M
21935,N,47,F
21936,N,65,F
21937,N,50,F
21938,N,52,M
21939,S,0,_
21940,N,23,M
21941,N,74,F
21942,N,43,F
21943,N,58,F
21944,N,26,M
21945,N,27,M
21946,S,0,_
21947,N,83,M
21948,N,68,F
21949,N,58,F
21950,N,50,M
21951,N,64,F
21952,N,74,M
